(1) 	(2) 	(3) 	(4) 	(5) 	(6) 	(7) 	(8) 	(9) 	(10) 	(11) 	(12) 	(13) 	(14) 	(15) 	(16) 	(17) 	(18) 	(19) 	(20) 	(21)
15.00 	-0.70 	13.9 	pbd+03 	489.00 	2.70 	pbd+03 	1.6 	0.25 	rus03 	knear 	pdd04 	1.7 	6.9 	145.7 	  	  	145.7 	  	  	145.7
15.10 	-0.90 	13.8 	pbd+03 	4.20 	2.70 	pbd+03 	1.6 	0.25 	rus03 	knear 	pdd04 	1.7 	6.9 	29.8 	  	  	29.8 	  	  	29.8
15.10 	-0.70 	19.1 	pbd+03 	552.00 	2.70 	pbd+03 	1.6 	0.25 	rus03 	knear 	pdd04 	2.2 	6.4 	151.8 	  	  	151.8 	  	  	151.8
15.20 	-0.60 	13.9 	pbd+03 	5.60 	2.70 	pbd+03 	1.6 	0.25 	rus03 	knear 	pdd04 	1.7 	6.9 	32.9 	  	  	32.9 	  	  	32.9
15.20 	-0.80 	23.7 	pbd+03 	7.10 	2.70 	pbd+03 	1.6 	0.25 	rus03 	knear 	pdd04 	2.6 	6.0 	35.6 	  	  	35.6 	  	  	35.6
15.20 	1.50 	17.5 	rus03 	  	  	  	2.8 	0.6 	rus03 	  	  	  	  	50.0 	  	  	50.0 	  	  	50.0
16.30 	-0.20 	49.5 	pbd+03 	14.00 	2.70 	pbd+03 	4.0 	0.6 	rus03 	knear 	ab09 	4.1 	4.7 	82.1 	  	  	82.1 	  	  	82.1
16.40 	-0.50 	42.7 	pbd+03 	8.10 	2.70 	pbd+03 	4.0 	0.6 	rus03 	  	  	  	  	68.4 	  	  	68.4 	  	  	68.4
16.40 	-0.20 	44.5 	pbd+03 	6.00 	2.70 	pbd+03 	4.0 	0.6 	rus03 	knear 	ab09 	3.9 	4.9 	61.9 	  	  	61.9 	  	  	61.9
16.60 	-0.30 	44.9 	pbd+03 	2.30 	2.70 	pbd+03 	4.0 	0.6 	rus03 	  	  	  	  	45.0 	  	  	45.0 	  	  	45.0
16.90 	-1.10 	  	pbd+03 	1.30 	2.70 	pbd+03 	1.6 	0.25 	rus03 	  	  	  	  	20.2 	  	  	20.2 	  	  	20.2
16.90 	0.80 	26.3 	pbd+03 	169.00 	2.70 	pbd+03 	2.0 	0.25 	rus03 	knear 	pdd04 	2.6 	6.0 	118.7 	  	  	118.7 	  	  	118.7
17.00 	0.80 	24.5 	pbd+03 	107.00 	2.70 	pbd+03 	2.0 	0.25 	rus03 	knear 	pdd04 	2.5 	6.2 	101.9 	  	  	101.9 	  	  	101.9
17.00 	0.90 	26.4 	pbd+03 	21.10 	2.70 	pbd+03 	2.0 	0.25 	rus03 	knear 	pdd04 	2.6 	6.0 	59.3 	  	  	59.3 	  	  	59.3
17.10 	0.80 	27.4 	pbd+03 	8.80 	2.70 	pbd+03 	2.0 	0.25 	rus03 	  	  	  	  	44.3 	  	  	44.3 	  	  	44.3
18.30 	1.90 	29.9 	pbd+03 	5.90 	2.70 	pbd+03 	2.0 	0.2 	rus03 	knear 	pdd04 	2.8 	5.9 	38.8 	  	  	38.8 	  	  	38.8
18.60 	-0.30 	71.1 	pbd+03 	2.40 	2.70 	pbd+03 	3.4 	1.0 	rus03 	  	  	  	  	40.9 	  	  	40.9 	  	  	40.9
18.70 	2.00 	26.6 	pbd+03 	88.00 	2.70 	pbd+03 	2.0 	0.2 	rus03 	knear 	pdd04 	2.5 	6.2 	95.5 	  	  	95.5 	  	  	95.5
18.90 	-0.50 	65.5 	pbd+03 	15.70 	2.70 	pbd+03 	3.4 	1.0 	rus03 	knear 	pdd04 	4.6 	4.4 	76.6 	  	  	76.6 	  	  	76.6
18.90 	-0.40 	68.0 	pbd+03 	18.50 	2.70 	pbd+03 	3.4 	1.0 	rus03 	knear 	pdd04 	4.7 	4.3 	80.9 	  	  	80.9 	  	  	80.9
18.95 	-0.02 	52.3 	ab09 	2.16 	4.85 	PMN 	3.4 	1.0 	rus03 	knear 	ab09 	4.0 	4.9 	40.3 	  	  	40.3 	  	  	40.3
19.00 	-0.00 	48.7 	pbd+03 	2.60 	2.70 	pbd+03 	3.4 	1.0 	rus03 	knear 	pdd04 	3.8 	5.0 	42.0 	  	  	42.0 	  	  	42.0
19.00 	-0.40 	65.8 	pbd+03 	7.10 	2.70 	pbd+03 	3.4 	1.0 	rus03 	knear 	ab09 	4.6 	4.4 	58.8 	  	  	58.8 	  	  	58.8
19.00 	-0.60 	68.2 	pbd+03 	2.00 	2.70 	pbd+03 	3.4 	1.0 	rus03 	knear 	ab09 	4.7 	4.3 	38.5 	  	  	38.5 	  	  	38.5
19.07 	-0.28 	64.2 	swa+04 	3.40 	4.86 	swa+04 	3.4 	1.0 	rus03 	knear 	swa+04 	4.6 	4.4 	46.9 	  	  	46.9 	  	  	46.9
19.10 	-0.30 	66.5 	pbd+03 	25.00 	2.70 	pbd+03 	3.4 	1.0 	rus03 	knear 	pdd04 	4.7 	4.4 	89.4 	  	  	89.4 	  	  	89.4
19.12 	-0.34 	63.5 	swa+04 	1.35 	4.86 	swa+04 	3.4 	1.0 	rus03 	knear 	swa+04 	4.5 	4.5 	34.5 	  	  	34.5 	  	  	34.5
19.50 	0.10 	19.9 	pbd+03 	3.50 	2.70 	pbd+03 	2.0 	0.2 	rus03 	  	  	  	  	32.6 	  	  	32.6 	  	  	32.6
20.50 	0.20 	24.1 	pbd+03 	2.40 	2.70 	pbd+03 	2.0 	0.2 	rus03 	  	  	  	  	28.7 	  	  	28.7 	  	  	28.7
23.00 	-0.40 	74.1 	pbd+03 	4.10 	2.70 	pbd+03 	4.59 	0.4 	brm+08 	  	  	  	  	59.0 	  	  	59.0 	  	  	59.0
23.10 	0.60 	29.5 	pbd+03 	2.80 	2.70 	pbd+03 	1.7 	0.5 	rus03 	knear 	pdd04 	2.4 	6.4 	27.1 	  	  	27.1 	  	  	27.1
23.42 	-0.21 	103.0 	lt08 	19.30 	2.70 	pbd+03 	5.88 	1.2 	brm+08 	kfar 	lt08 	9.6 	3.8 	117.1 	  	  	117.1 	  	  	117.1
23.96 	0.15 	78.9 	ab09 	2.70 	2.70 	pbd+03 	2.5 	0.4 	cf08 	knear 	ab09 	4.9 	4.5 	34.7 	  	  	34.7 	  	  	34.7
24.70 	-0.20 	84.8 	pbd+03 	3.20 	2.70 	pbd+03 	2.2 	0.25 	rus03 	  	  	  	  	33.7 	  	  	33.7 	  	  	33.7
25.30 	0.30 	40.3 	pbd+03 	2.30 	2.70 	pbd+03 	2.2 	0.25 	rus03 	  	  	  	  	30.2 	  	  	30.2 	  	  	30.2
26.40 	1.80 	43.0 	pbd+03 	0.20 	2.70 	pbd+03 	2.3 	0.7 	rus03 	  	  	  	  	13.8 	  	  	13.8 	  	  	13.8
29.00 	-0.60 	52.6 	pbd+03 	4.00 	2.70 	pbd+03 	3.3 	0.7 	rus03 	  	  	  	  	47.6 	  	  	47.6 	  	  	47.6
29.10 	-0.70 	47.3 	pbd+03 	1.20 	2.70 	pbd+03 	3.3 	0.7 	rus03 	knear 	pdd04 	3.2 	5.9 	31.9 	  	  	31.9 	  	  	31.9
29.10 	-0.00 	52.4 	pbd+03 	2.10 	2.70 	pbd+03 	3.3 	0.7 	rus03 	  	  	  	  	38.4 	  	  	38.4 	  	  	38.4
29.20 	0.00 	61.7 	pbd+03 	6.60 	2.70 	pbd+03 	3.3 	0.7 	rus03 	  	  	  	  	56.2 	  	  	56.2 	  	  	56.2
30.60 	-0.60 	17.8 	rus03 	  	  	  	0.5 	0.1 	rus03 	  	  	  	  	  	  	  	  	  	  	 
31.90 	1.40 	53.0 	rus03 	1.80 	2.70 	pbd+03 	3.8 	1.1 	rus03 	knear 	pdd04 	3.6 	5.8 	40.1 	  	  	40.1 	  	  	40.1
35.10 	-1.50 	44.2 	pbd+03 	3.00 	2.70 	pbd+03 	3.27 	0.5 	zzr+08 	knear 	pdd04 	3.0 	6.3 	42.4 	  	  	42.4 	  	  	42.4
35.20 	-1.70 	46.5 	pbd+03 	14.80 	2.70 	pbd+03 	3.27 	0.5 	zzr+08 	  	  	  	  	72.1 	  	  	72.1 	  	  	72.1
36.30 	-1.70 	63.5 	pbd+03 	10.00 	2.70 	pbd+03 	1.8 	0.5 	rus03 	knear 	pdd04 	4.2 	5.7 	43.1 	  	  	43.1 	  	  	43.1
39.90 	-1.30 	44.3 	pbd+03 	3.00 	2.70 	pbd+03 	2.1 	0.6 	rus03 	knear 	pdd04 	3.0 	6.5 	32.0 	  	  	32.0 	  	  	32.0
49.00 	-0.30 	64.8 	pbd+03 	113.00 	2.70 	pbd+03 	5.1 	2.2 	xrm+08 	  	  	  	  	193.7 	  	  	193.7 	  	  	193.7
49.10 	-0.70 	  	pbd+03 	34.00 	2.70 	pbd+03 	5.1 	2.2 	xrm+08 	  	  	  	  	129.8 	  	  	129.8 	  	  	129.8
49.10 	-0.40 	71.2 	pbd+03 	11.20 	2.70 	pbd+03 	5.1 	2.2 	xrm+08 	  	  	  	  	89.6 	  	  	89.6 	  	  	89.6
49.20 	-0.30 	68.6 	pbd+03 	23.80 	2.70 	pbd+03 	5.1 	2.2 	xrm+08 	  	  	  	  	115.3 	  	  	115.3 	  	  	115.3
49.50 	-0.40 	57.5 	pbd+03 	119.00 	2.70 	pbd+03 	5.1 	2.2 	xrm+08 	  	  	  	  	197.1 	  	  	197.1 	  	  	197.1
51.20 	-0.10 	  	pbd+03 	39.40 	2.70 	pbd+03 	5.1 	2.2 	xrm+08 	  	  	  	  	136.3 	  	  	136.3 	  	  	136.3
53.50 	0.00 	24.0 	rus03 	0.60 	2.70 	pbd+03 	1.4 	0.4 	rus03 	knear 	pdd04 	1.8 	7.6 	14.3 	  	  	14.3 	  	  	14.3
5.90 	-3.80 	29.6 	rus03 	  	  	  	4.5 	1.3 	rus03 	  	  	  	  	  	  	  	  	  	  	 
59.50 	-0.20 	29.4 	pbd+03 	15.00 	2.70 	pbd+03 	2.3 	0.25 	rus03 	  	  	  	  	58.1 	  	  	58.1 	  	  	58.1
60.90 	-0.10 	18.6 	pbd+03 	2.00 	2.70 	pbd+03 	2.2 	0.3 	rus03 	knear 	ahck02 	1.7 	7.8 	28.8 	  	  	28.8 	  	  	28.8
61.50 	0.10 	27.3 	pbd+03 	9.00 	2.70 	pbd+03 	2.2 	0.3 	rus03 	  	  	  	  	47.6 	  	  	47.6 	  	  	47.6
62.90 	0.10 	19.2 	pbd+03 	0.60 	2.70 	pbd+03 	2.2 	0.3 	rus03 	  	  	  	  	19.3 	  	  	19.3 	  	  	19.3
62.90 	0.10 	19.2 	pbd+03 	0.30 	2.70 	pbd+03 	2.2 	0.3 	rus03 	knear 	pdd04 	1.9 	7.8 	15.3 	  	  	15.3 	  	  	15.3
63.20 	0.50 	19.4 	pbd+03 	7.00 	2.70 	pbd+03 	2.2 	0.3 	rus03 	knear 	pdd04 	1.9 	7.8 	43.8 	  	  	43.8 	  	  	43.8
64.10 	-0.50 	23.6 	pbd+03 	1.50 	2.70 	pbd+03 	3.9 	0.5 	rus03 	  	  	  	  	38.4 	  	  	38.4 	  	  	38.4
68.20 	1.00 	  	pbd+03 	10.00 	2.70 	pbd+03 	3.6 	1.1 	rus03 	  	  	  	  	68.4 	  	  	68.4 	  	  	68.4
70.20 	1.70 	-22.9 	pbd+03 	2.20 	2.70 	pbd+03 	7.0 	1.5 	rus03 	  	  	  	  	64.4 	  	  	64.4 	  	  	64.4
70.29 	1.60 	-24.2 	ahck02 	4.37 	4.86 	ahck02 	7.0 	1.5 	rus03 	  	  	  	  	82.5 	  	  	82.5 	  	  	82.5
70.33 	1.59 	-21.1 	ahck02 	2.21 	4.86 	ahck02 	7.0 	1.5 	rus03 	  	  	  	  	65.7 	  	  	65.7 	  	  	65.7
71.60 	2.80 	16.0 	pbd+03 	5.30 	2.70 	pbd+03 	2.8 	0.8 	rus03 	  	  	  	  	46.8 	  	  	46.8 	  	  	46.8
74.80 	0.60 	-2.2 	pbd+03 	11.70 	2.70 	pbd+03 	3.1 	0.9 	rus03 	  	  	  	  	65.3 	  	  	65.3 	  	  	65.3
77.40 	-3.70 	8.1 	rus03 	0.10 	2.70 	pbd+03 	2.6 	0.8 	rus03 	  	  	  	  	11.9 	  	  	11.9 	  	  	11.9
85.50 	-1.00 	3.4 	rus03 	  	  	  	1.0 	0.3 	rus03 	  	  	  	  	116.0 	  	  	116.0 	  	  	116.0
87.60 	-3.80 	2.8 	rus03 	  	  	  	0.9 	0.3 	rus03 	  	  	  	  	47.0 	  	  	47.0 	  	  	47.0
93.10 	2.80 	-61.0 	pbd+03 	2.80 	2.70 	pbd+03 	6.3 	1.1 	rus03 	  	  	  	  	65.0 	  	  	65.0 	  	  	65.0
94.40 	-5.50 	0.9 	pbd+03 	1.90 	2.70 	pbd+03 	0.9 	0.04 	rus03 	  	  	  	  	15.6 	  	  	15.6 	  	  	15.6
94.50 	-1.50 	-38.6 	rus03 	2.30 	2.70 	pbd+03 	3.6 	0.8 	rus03 	  	  	  	  	41.9 	  	  	41.9 	  	  	41.9
95.40 	16.80 	-4.0 	rus03 	  	  	  	0.4 	0.04 	rus03 	  	  	  	  	  	  	  	  	  	  	 
96.00 	2.00 	-74.0 	rus03 	  	  	  	9.6 	0.4 	rag07 	  	  	  	  	74.7 	  	  	74.7 	  	  	74.7
96.30 	2.60 	-95.0 	rus03 	0.60 	2.70 	pbd+03 	9.7 	2.9 	rus03 	  	  	  	  	51.9 	  	  	51.9 	  	  	51.9
96.30 	-0.20 	-54.2 	rus03 	  	  	  	8.88 	0.61 	rag07 	  	  	  	  	45.1 	  	  	45.1 	  	  	45.1
99.30 	3.70 	-2.0 	rus03 	  	  	  	0.9 	0.04 	rus03 	  	  	  	  	59.0 	  	  	59.0 	  	  	59.0
100.00 	10.00 	-9.6 	rus03 	  	  	  	0.6 	0.1 	rus03 	  	  	  	  	  	  	  	  	  	  	 
101.40 	2.70 	-61.0 	rus03 	0.20 	2.70 	pbd+03 	5.25 	0.29 	rag07 	kout 	hh09 	7.2 	12.2 	23.7 	  	  	23.7 	  	  	23.7
102.90 	-0.70 	-48.1 	pbd+03 	2.60 	2.70 	pbd+03 	3.1 	0.3 	rus03 	  	  	  	  	39.5 	  	  	39.5 	  	  	39.5
103.70 	2.20 	-16.1 	pbd+03 	0.60 	2.70 	pbd+03 	1.2 	0.25 	rus03 	  	  	  	  	12.9 	  	  	12.9 	  	  	12.9
104.60 	1.40 	-20.7 	pbd+03 	1.40 	2.70 	pbd+03 	1.2 	0.25 	rus03 	  	  	  	  	17.1 	  	  	17.1 	  	  	17.1
105.20 	7.10 	-10.3 	pbd+03 	0.20 	2.70 	pbd+03 	0.7 	0.1 	rus03 	  	  	  	  	6.2 	  	  	6.2 	  	  	6.2
105.60 	0.40 	-52.0 	rus03 	0.70 	2.70 	pbd+03 	2.91 	1.4 	rag07 	  	  	  	  	24.4 	  	  	24.4 	  	  	24.4
106.80 	3.30 	-65.0 	pbd+03 	0.60 	2.70 	pbd+03 	8.34 	0.6 	rag07 	  	  	  	  	46.8 	  	  	46.8 	  	  	46.8
106.80 	5.30 	-8.5 	pbd+03 	0.70 	2.70 	pbd+03 	0.9 	0.1 	rus03 	  	  	  	  	11.2 	  	  	11.2 	  	  	11.2
107.20 	-1.00 	-36.0 	pbd+03 	6.60 	2.70 	pbd+03 	3.7 	0.25 	rus03 	  	  	  	  	60.7 	  	  	60.7 	  	  	60.7
108.20 	5.60 	-8.8 	pbd+03 	0.10 	2.70 	pbd+03 	0.9 	0.1 	rus03 	  	  	  	  	5.9 	  	  	5.9 	  	  	5.9
108.30 	-1.00 	-55.2 	rus03 	0.60 	2.70 	pbd+03 	5.3 	1.1 	rus03 	  	  	  	  	34.7 	  	  	34.7 	  	  	34.7
108.80 	-0.90 	-50.1 	pbd+03 	0.90 	2.70 	pbd+03 	2.39 	0.21 	rag07 	  	  	  	  	22.7 	  	  	22.7 	  	  	22.7
108.80 	-1.00 	-49.1 	pbd+03 	1.80 	2.70 	pbd+03 	2.39 	0.21 	rag07 	  	  	  	  	28.7 	  	  	28.7 	  	  	28.7
109.20 	1.50 	-11.5 	pbd+03 	0.50 	2.70 	pbd+03 	0.7 	0.04 	rus03 	  	  	  	  	8.5 	  	  	8.5 	  	  	8.5
110.10 	0.00 	-51.7 	pbd+03 	2.50 	2.70 	pbd+03 	3.0 	0.7 	rag07 	  	  	  	  	38.2 	  	  	38.2 	  	  	38.2
110.20 	2.50 	-10.0 	pbd+03 	5.00 	2.70 	pbd+03 	0.7 	0.04 	rus03 	  	  	  	  	18.2 	  	  	18.2 	  	  	18.2
111.50 	0.80 	-60.8 	pbd+03 	28.60 	2.70 	pbd+03 	2.4 	0.14 	rag07 	  	  	  	  	74.1 	  	  	74.1 	  	  	74.1
111.60 	0.90 	-60.6 	pbd+03 	0.60 	2.70 	pbd+03 	2.65 	0.1 	mrm+08 	  	  	  	  	21.6 	  	  	21.6 	  	  	21.6
111.60 	0.40 	-64.5 	pbd+03 	2.20 	2.70 	pbd+03 	2.4 	0.14 	rag07 	  	  	  	  	31.5 	  	  	31.5 	  	  	31.5
111.90 	4.10 	5.8 	rus03 	  	  	  	1.1 	0.3 	rus03 	  	  	  	  	  	  	  	  	  	  	 
112.20 	0.20 	-41.8 	pbd+03 	7.30 	2.70 	pbd+03 	3.2 	0.25 	rus03 	  	  	  	  	57.0 	  	  	57.0 	  	  	57.0
113.60 	-0.70 	-42.7 	pbd+03 	6.90 	2.70 	pbd+03 	3.53 	0.17 	rag07 	  	  	  	  	59.3 	  	  	59.3 	  	  	59.3
114.60 	0.20 	-33.0 	rus03 	  	  	  	1.7 	0.5 	rus03 	  	  	  	  	19.0 	  	  	19.0 	  	  	19.0
115.80 	-1.60 	-40.8 	pbd+03 	1.60 	2.70 	pbd+03 	2.5 	0.5 	rus03 	  	  	  	  	29.1 	  	  	29.1 	  	  	29.1
117.60 	2.30 	-43.7 	rus03 	2.30 	2.70 	pbd+03 	2.6 	0.27 	rag07 	  	  	  	  	33.8 	  	  	33.8 	  	  	33.8
118.10 	5.00 	-9.1 	pbd+03 	9.50 	2.70 	pbd+03 	0.7 	0.04 	rus03 	  	  	  	  	22.6 	  	  	22.6 	  	  	22.6
118.60 	-1.30 	-40.8 	pbd+03 	2.10 	2.70 	pbd+03 	3.12 	0.34 	rag07 	  	  	  	  	36.8 	  	  	36.8 	  	  	36.8
119.40 	-0.90 	  	pbd+03 	2.60 	2.70 	pbd+03 	3.12 	0.34 	rag07 	  	  	  	  	39.5 	  	  	39.5 	  	  	39.5
119.40 	-0.80 	-34.5 	pbd+03 	0.60 	2.70 	pbd+03 	3.12 	0.34 	rag07 	  	  	  	  	24.2 	  	  	24.2 	  	  	24.2
120.40 	2.00 	-49.0 	rus03 	0.10 	2.70 	pbd+03 	1.09 	0.21 	rag07 	  	  	  	  	6.3 	  	  	6.3 	  	  	6.3
122.60 	0.10 	-42.3 	rus03 	  	  	  	5.3 	1.6 	rus03 	  	  	  	  	  	  	  	  	  	  	 
123.10 	-6.30 	-29.7 	pbd+03 	8.40 	2.70 	pbd+03 	2.9 	0.4 	rus03 	  	  	  	  	55.9 	  	  	55.9 	  	  	55.9
123.20 	-6.30 	-30.4 	pbd+03 	4.30 	2.70 	pbd+03 	2.9 	0.4 	rus03 	  	  	  	  	44.7 	  	  	44.7 	  	  	44.7
124.00 	-1.90 	+3.0 	rus03 	  	  	  	0.2 	0.1 	rus03 	  	  	  	  	  	  	  	  	  	  	 
133.70 	1.20 	-40.1 	pbd+03 	79.10 	2.70 	pbd+03 	2.3 	0.25 	rus03 	  	  	  	  	101.1 	  	  	101.1 	  	  	101.1
133.80 	1.40 	-47.7 	pbd+03 	17.90 	2.70 	pbd+03 	2.3 	0.25 	rus03 	  	  	  	  	61.6 	  	  	61.6 	  	  	61.6
136.10 	2.10 	-46.3 	rus03 	0.10 	2.70 	pbd+03 	2.4 	0.32 	rag07 	  	  	  	  	11.3 	  	  	11.3 	  	  	11.3
136.90 	1.00 	-41.3 	pbd+03 	2.50 	2.70 	pbd+03 	2.3 	0.25 	rus03 	  	  	  	  	32.0 	  	  	32.0 	  	  	32.0
138.50 	1.60 	-34.6 	pbd+03 	1.20 	2.70 	pbd+03 	2.3 	0.25 	rus03 	  	  	  	  	25.0 	  	  	25.0 	  	  	25.0
140.00 	2.00 	-10.7 	rus03 	  	  	  	1.1 	0.2 	rus03 	  	  	  	  	  	  	  	  	  	  	 
143.60 	-1.80 	-34.4 	rus03 	12.00 	2.70 	pbd+03 	1.71 	0.31 	rag07 	  	  	  	  	44.1 	  	  	44.1 	  	  	44.1
145.80 	3.00 	-26.0 	rus03 	  	  	  	4.0 	1.2 	rus03 	  	  	  	  	  	  	  	  	  	  	 
148.50 	-0.20 	-17.5 	rus03 	  	  	  	0.8 	0.2 	rus03 	  	  	  	  	20.0 	  	  	20.0 	  	  	20.0
150.60 	0.90 	-25.1 	pbd+03 	17.30 	2.70 	pbd+03 	2.7 	0.8 	rus03 	  	  	  	  	67.8 	  	  	67.8 	  	  	67.8
151.30 	2.00 	-32.9 	rus03 	0.10 	2.70 	pbd+03 	7.5 	1.6 	rus03 	  	  	  	  	24.0 	  	  	24.0 	  	  	24.0
151.60 	-0.20 	-49.9 	pbd+03 	12.40 	2.70 	pbd+03 	10.1 	1.7 	rus03 	  	  	  	  	145.3 	  	  	145. 	  	  	145.
154.60 	2.40 	-35.5 	pbd+03 	0.70 	2.70 	pbd+03 	6.8 	0.9 	rus03 	  	  	  	  	43.1 	  	  	43.1 	  	  	43.1
155.40 	2.60 	-40.1 	pbd+03 	1.60 	2.70 	pbd+03 	6.8 	0.9 	rus03 	  	  	  	  	56.8 	  	  	56.8 	  	  	56.8
159.10 	3.30 	-20.5 	pbd+03 	0.40 	2.70 	pbd+03 	4.19 	0.27 	rag07 	  	  	  	  	25.5 	  	  	25.5 	  	  	25.5
159.40 	2.60 	-24.5 	pbd+03 	0.10 	2.70 	pbd+03 	4.19 	0.27 	rag07 	  	  	  	  	16.1 	  	  	16.1 	  	  	16.1
160.30 	0.90 	-25.2 	pbd+03 	0.10 	2.70 	pbd+03 	4.19 	0.27 	rag07 	  	  	  	  	16.1 	  	  	16.1 	  	  	16.1
161.00 	12.00 	7.0 	rus03 	  	  	  	0.5 	0.2 	rus03 	  	  	  	  	37.0 	  	  	37.0 	  	  	37.0
168.10 	3.10 	-22.6 	rus03 	0.10 	2.70 	pbd+03 	3.8 	1.1 	rus03 	  	  	  	  	15.3 	  	  	15.3 	  	  	15.3
168.60 	0.00 	-27.1 	rus03 	0.60 	2.70 	pbd+03 	4.2 	1.3 	rus03 	  	  	  	  	29.7 	  	  	29.7 	  	  	29.7
169.20 	-0.90 	-20.5 	pbd+03 	1.50 	2.70 	pbd+03 	4.1 	1.2 	rus03 	  	  	  	  	39.7 	  	  	39.7 	  	  	39.7
172.50 	2.00 	  	rus03 	  	  	  	0.5 	0.1 	rus03 	  	  	  	  	23.0 	  	  	23.0 	  	  	23.0
173.40 	-0.20 	-14.3 	rus03 	1.50 	2.70 	pbd+03 	1.8 	0.25 	rus03 	  	  	  	  	22.9 	  	  	22.9 	  	  	22.9
173.60 	2.80 	-24.5 	pbd+03 	3.70 	2.70 	pbd+03 	1.6 	0.3 	rus03 	  	  	  	  	28.6 	  	  	28.6 	  	  	28.6
173.60 	-1.80 	-7.2 	pbd+03 	2.10 	2.70 	pbd+03 	4.3 	0.25 	rus03 	  	  	  	  	45.8 	  	  	45.8 	  	  	45.8
173.90 	0.30 	-4.3 	rus03 	0.80 	2.70 	pbd+03 	5.2 	0.8 	rus03 	  	  	  	  	37.7 	  	  	37.7 	  	  	37.7
180.90 	4.10 	-6.5 	rus03 	1.40 	2.70 	pbd+03 	4.9 	1.0 	rus03 	  	  	  	  	43.6 	  	  	43.6 	  	  	43.6
182.40 	0.20 	0.0 	rus03 	0.90 	2.70 	pbd+03 	2.2 	0.7 	rus03 	  	  	  	  	22.1 	  	  	22.1 	  	  	22.1
188.90 	0.80 	3.0 	rus03 	0.90 	2.70 	pbd+03 	4.2 	1.3 	rus03 	  	  	  	  	34.0 	  	  	34.0 	  	  	34.0
189.00 	4.00 	-5.4 	rus03 	  	  	  	1.8 	0.3 	rus03 	  	  	  	  	56.0 	  	  	56.0 	  	  	56.0
189.80 	0.30 	7.5 	pbd+03 	0.20 	2.70 	pbd+03 	2.1 	0.03 	rmb+08 	  	  	  	  	13.0 	  	  	13.0 	  	  	13.0
192.20 	3.60 	14.4 	rus03 	0.10 	2.70 	pbd+03 	5.1 	1.5 	rus03 	  	  	  	  	18.6 	  	  	18.6 	  	  	18.6
192.60 	-0.00 	5.8 	pbd+03 	1.40 	2.70 	pbd+03 	2.46 	0.16 	rag07 	  	  	  	  	27.1 	  	  	27.1 	  	  	27.1
