#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-02-12T14:12:06 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ511a4d7c223f 
#INFO -out.max=unlimited 
#INFO queryParameters=21 
#-oc.form=sexa
#-out.max=unlimited
#-out.src=J/A+AS/108/485/table1
#-nav=cat:J/A+AS/108/485&tab:{J/A+AS/108/485/table1}&key:source=J/A+AS/108/485&HTTPPRM:&-ref=VIZ511a4d7c223f&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=recno&-out=Name&-out=PK&-out=F5GHz&-out=D&-out=Ref&-out=Tb&-out=R&-out=l_Dist&-out=Dist&-out=tau(CKS)&-out=log(mu)&-out=Rad(CKS)&-out=Dist(CKS)&-out=Diff&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-out.src=J/A+AS/108/485/table1
#-source=J/A+AS/108/485/table1
#-order=I
#-out=recno
#-out=Name
#-out=PK
#-out=F5GHz
#-out=D
#-out=Ref
#-out=Tb
#-out=R
#-out=l_Dist
#-out=Dist
#-out=tau(CKS)
#-out=log(mu)
#-out=Rad(CKS)
#-out=Dist(CKS)
#-out=Diff
#

#RESOURCE=yCat_41080485
#Name: J/A+AS/108/485
#Title: PN distance scale (Van de Steene+, 1994)
#Table J_A_AS_108_485_table1:
#Name: J/A+AS/108/485/table1
#Title: Catalog of distances to planetary nebulae
#---Details of Columns:
    recno           (I8)    Record number within the original table (starting from 1) [ucd=meta.record]
    Name            (a10)   Nebula name [ucd=meta.id;meta.main]
    PK              (a9)    PK number [ucd=meta.id]
    F5GHz (mJy)     (F7.1)  Radio flux at 5 GHz [ucd=phot.flux.density;em.radio.3-6GHz]
    D (arcsec)      (F5.1)  Angular diameter [ucd=phys.angSize;src]
    Ref             (I1)    References (1) [ucd=meta.ref]
    Tb (K)          (F7.2)  Brightness temperature [ucd=phys.temperature]
    R (pc)          (F5.2)  Radius calculated using the proposed method [ucd=phys.size.radius]
    l_Dist          (A1)    Limit flag on distance [ucd=meta.code.error]
    Dist (kpc)      (F5.2)  Distance calculated using the proposed method [ucd=pos.distance]
    tau(CKS)        (F5.2)  Optical thickness parameter [ucd=phys.absorption.opticalDepth]
    log(mu)         (F5.2)  Ionised mass [ucd=phys.mass]
    Rad(CKS) (pc)   (F6.3)  Radius as obtained with the Cahn et al. (CKS) calibration (2) [ucd=phys.size.radius]
    Dist(CKS) (kpc) (F5.2)  Distance as obtained with the Cahn et al. (CKS) calibration (2) [ucd=pos.distance]
    Diff (kpc)      (F6.2)  Difference between the distance determinations [ucd=pos.distance;arith.diff]
-------- ---------- --------- ------- ----- - ------- ----- - ----- ----- ----- ------ ----- ------
                                                            l                                      
                                                            _                                      
                                                            D                                      
                                            R               i                   R      Dist(       
                              F5GH    D (ar e         R     s Dist  tau   lo    ad(CKS CKS)  Diff  
recno    Name       PK        z (mJy) csec) f Tb (K)  (pc)  t (kpc) (CKS) g(mu) ) (pc) (kpc) (kpc) 
-------- ---------- --------- ------- ----- - ------- ----- - ----- ----- ----- ------ ----- ------
      64 NGC6537      10+0.1    640.0   7.4 1  826.00  0.03    1.60  1.93 -2.07  0.020  1.00   0.61
      65 NGC6578      10-1.1    170.0   9.6 1  130.00  0.05    2.36  2.73 -1.27  0.050  2.33   0.03
      66 M2-17        10+4.1     10.0   8.0 3   11.00  0.13    6.73  3.81 -0.87  0.130  6.60   0.13
      67 IC4732       10-6.1     49.0   4.0 1  216.00  0.05    4.75  2.51 -1.49  0.040  4.13   0.62
      68 PE1-13       10-6.2      3.0   7.0 3    4.30  0.18   10.66  4.21 -0.87  0.150  9.10   1.56
      69 M2-9        10+18.2     36.0  46.0 3    1.20  0.28    2.54  4.77 -0.87  0.200  1.79   0.75
      70 NGC6567      11-0.2    168.0   8.8 1  153.00  0.05    2.43  2.66 -1.34  0.050  2.31   0.13
      71 M1-32        11+4.1     61.0   9.0 3   53.20  0.08    3.44  3.12 -0.88  0.090  4.26  -0.81
      72 HE2-403      11-5.1     14.0   5.5 3   32.70  0.09    6.68  3.33 -0.87  0.100  7.73  -1.04
      73 NGC6439      11+5.1     55.0   4.0 2  243.00  0.04    4.55  2.46 -1.54  0.040  3.85   0.70
      74 M2-15        11+6.1     12.5   7.5 3   15.70  0.12    6.34  3.65 -0.87  0.120  6.56  -0.23
      75 HE2-422      11-9.1     66.0   1.7 3 1610.00  0.02    5.53  1.64 -2.36  0.010  2.91   2.62
      76 M2-13       11+11.1     13.0   1.5 2  408.00  0.04   10.13  2.24 -1.76  0.030  7.52   2.61
      77 M1-45        12-2.1     19.0   2.7 6  184.00  0.05    7.44  2.58 -1.42  0.040  6.74   0.70
      78 M1-48        13-3.1      6.0   5.5 3   14.00  0.12    8.99  3.70 -0.87  0.120  9.15  -0.16
      79 M1-33        13+4.1     60.0   3.8 3  294.00  0.04    4.48  2.38 -1.62  0.030  3.62   0.87
      80 SN1         13+32.1      7.0   3.0 2   55.00  0.07   10.21  3.11 -0.89  0.090 12.53  -2.31
      81 M3-31        14-7.1      9.0   0.9 3  785.00  0.03   13.43  1.95 -2.05  0.020  8.47   4.96
      82 HE2-351      15+3.1     98.0   4.0 3  433.00  0.04    3.72  2.21 -1.79  0.030  2.72   1.00
      83 M1-46        16-1.1     81.0  12.0 3   39.80  0.08    2.86  3.25 -0.87  0.100  3.41  -0.55
      84 M1-56        16-4.2     21.0   1.4 3  757.00  0.03    8.74  1.97 -2.03  0.020  5.56   3.18
      85 M1-52        17-2.1      8.0   8.0 3    8.80  0.14    7.26  3.90 -0.87  0.130  6.90   0.36
      86 M3-30        17-4.1      7.0  22.0 3    1.00  0.30    5.62  4.84 -0.87  0.210  3.86   1.76
      87 A65         17-21.1      4.0 104.0 3    0.00  1.08    4.29  6.43  2.43  8.980 35.61 -31.50
      88 M4-8         18+3.1     19.0   1.3 2  795.00  0.03    9.26  1.95 -2.05  0.020  5.82   3.43
      89 NA1         18+20.1     22.0   8.0 3   24.30  0.10    5.10  3.46 -0.87  0.110  5.64  -0.54
      90 M3-25        19+3.1     76.0   1.3 3 3180.00  0.02    5.70  1.35 -2.65  0.010  2.53   3.16
      91 M1-60        19-4.1     48.0   2.5 2  543.00  0.03    5.50  2.11 -1.89  0.020  3.80   1.70
      92 M1-61        19-5.1     97.0   1.8 2 2120.00  0.02    4.74  1.52 -2.48  0.010  2.34   2.41
      93 SA1-8        20-5.1     11.0   5.6 2   24.80  0.10    7.23  3.45 -0.87  0.110  8.02  -0.79
      94 M3-28        21-0.1     33.0   5.0 3   93.30  0.06    5.09  2.88 -1.12  0.070  5.47  -0.38
      95 HE2-411      21-1.1    319.0  15.0 3  100.00  0.06    1.66  2.85 -1.15  0.060  1.75  -0.09
      96 M1-57        22-2.1     70.0   8.0 3   77.30  0.07    3.40  2.96 -1.04  0.070  3.83  -0.43
      97 K3-11        23-1.2     17.0   3.0 2  134.00  0.05    7.48  2.72 -1.28  0.050  7.36   0.12
      98 M1-59        23-2.1    108.0   4.8 2  331.00  0.04    3.41  2.33 -1.67  0.030  2.66   0.74
      99 M2-46        24-2.1      3.0   5.0 3    8.50  0.14   11.79  3.92 -0.87  0.130 11.13   0.66
     100 M2-40        24+3.1     33.0   5.5 3   77.10  0.07    4.95  2.96 -1.04  0.070  5.58  -0.63
     101 PE1-17       24-3.1      6.0   6.0 3   11.80  0.13    8.75  3.78 -0.87  0.130  8.69   0.06
     102 M4-9         24+5.1     42.0  47.0 3    1.30  0.27    2.39  4.72 -0.87  0.200  1.71   0.68
     103 PE1-15       25-2.1      8.0   4.8 2   24.50  0.10    8.47  3.46 -0.87  0.110  9.38  -0.91
     104 IC1295       25-4.2     44.0 109.0 3    0.30  0.48    1.83  5.43 -0.87  0.270  1.02   0.80
     105 NGC6818     25-17.1    300.0  18.8 1   60.00  0.07    1.58  3.07 -0.93  0.090  1.90  -0.32
     106 PE1-19       26-2.3      6.0   4.3 3   22.90  0.10    9.68  3.49 -0.87  0.110 10.61  -0.93
     107 M2-45        27+0.1    154.0   7.5 3  194.00  0.05    2.63  2.56 -1.44  0.040  2.35   0.27
     108 PE1-18       27-2.1     42.0   1.2 3 2060.00  0.02    7.18  1.54 -2.46  0.010  3.56   3.63
     109 VY1-4        27-3.2     22.0   4.0 2   97.20  0.06    6.28  2.86 -1.14  0.060  6.67  -0.40
     110 M2-43        27+4.1    237.0   1.3 2 4600.00  0.02 <  5.00  0.85 -3.15  0.004  1.28   3.73
     111 IC4846       27-9.1     43.0   2.9 2  361.00  0.04    5.47  2.29 -1.71  0.030  4.19   1.28
     112 M2-44        28+1.1     54.0   8.0 3   59.60  0.07    3.72  3.07 -0.93  0.090  4.47  -0.75
     113 K3-7         28+2.1     30.0   6.3 2   53.40  0.08    4.91  3.12 -0.88  0.090  6.07  -1.15
     114 K3-2         28+5.1     31.0   2.8 2  279.00  0.04    6.20  2.40 -1.60  0.030  5.06   1.14
     115 NGC6751      29-5.1     63.0  21.0 1   10.10  0.13    2.64  3.85 -0.87  0.130  2.56   0.08
     116 K3-6         30+4.1     80.0   0.7 2 7100.00  0.01 <  8.00  0.79 -3.21  0.004  2.17   5.82
     117 K3-3         31+5.1     34.0  11.0 3   19.90  0.11    3.98  3.55 -0.87  0.110  4.27  -0.29
     118 M3-34       31-10.1     29.0   8.0 3   32.00  0.09    4.63  3.34 -0.87  0.100  5.33  -0.71
     119 M1-66        32-2.1     59.0   2.7 2  572.00  0.03    5.00  2.09 -1.91  0.020  3.41   1.59
     120 K3-19        32-2.2     23.0   1.2 2 1130.00  0.03    8.87  1.80 -2.20  0.010  5.11   3.76
     121 K3-18        32-3.1     11.0   0.9 3  960.00  0.03   12.51  1.87 -2.13  0.020  7.51   5.01
     122 K3-1         32+7.1      5.0   5.0 2   14.10  0.12    9.87  3.70 -0.87  0.120 10.05  -0.18
     123 NGC6741      33-2.1    230.0   7.8 1  267.00  0.04    2.26  2.42 -1.58  0.040  1.87   0.39
     124 NGC6772      33-6.1     73.0  90.0 3    0.60  0.35    1.62  5.05 -0.87  0.230  1.04   0.58
     125 K3-13        34+2.1     34.0   3.7 2  176.00  0.05    5.51  2.60 -1.40  0.050  5.06   0.45
     126 K3-5         34+6.1      3.0  10.0 3    2.10  0.23    9.58  4.52 -0.87  0.180  7.35   2.23
     127 NGC6778      34-6.1     55.0  16.0 1   15.20  0.12    3.00  3.67 -0.87  0.120  3.10  -0.09
     128 NGC6572     34+11.1   1374.0  14.6 1  456.00  0.04    1.00  2.19 -1.81  0.030  0.72   0.28
     129 SH2-71       36-1.1     63.0 114.0 3    0.30  0.44    1.59  5.31 -0.87  0.260  0.93   0.66
     130 NGC7293     36-57.1   1292.0 600.0 1    0.20  0.52    0.40  5.45  1.45  2.300  1.60  -1.20
     131 NGC6790      37-6.1    290.0   1.8 2 5200.00  0.02 <  3.50  1.05 -2.95  0.010  1.21   2.25
     132 NGC7009     37-34.1    750.0  26.8 1   73.80  0.07    1.03  2.98 -1.02  0.080  1.18  -0.14
     133 CN3-1       38+12.1     75.0   4.6 1  251.00  0.04    3.92  2.45 -1.55  0.040  3.29   0.63
     134 K3-17        39+2.1    345.0   8.0 3  381.00  0.04    1.95  2.27 -1.73  0.030  1.47   0.48
     135 M2-47        39-2.1     45.0   6.0 3   88.40  0.06    4.33  2.90 -1.10  0.070  4.71  -0.39
     136 K3-30        40-3.1     23.0   3.3 2  149.00  0.05    6.55  2.68 -1.32  0.050  6.25   0.30
     137 NGC6781      41-2.1    347.0 130.0 3    1.50  0.27    0.84  4.69 -0.87  0.190  0.61   0.23
     138 K3-14        42+5.1      4.8   1.0 2  339.00  0.04   16.21  2.32 -1.68  0.030 12.61   3.60
     139 NGC6807      42-6.1     29.0   0.8 2 3200.00  0.02    9.24  1.34 -2.66  0.010  4.10   5.14
     140 M1-65        43+3.1     22.0   4.0 3   97.20  0.06    6.28  2.86 -1.14  0.060  6.67  -0.40
     141 M4-14        43-3.1      8.0   7.0 3   11.50  0.13    7.57  3.79 -0.87  0.130  7.48   0.09
     142 NGC6210     43+37.1    311.0  16.2 4   83.80  0.06    1.63  2.93 -1.07  0.070  1.80  -0.17
     143 K3-33        45-1.1     17.0   1.1 2  993.00  0.03   10.12  1.85 -2.15  0.020  6.02   4.10
     144 VY2-2        45-2.1    205.0   0.6 1 9620.00  0.01 <  8.40  0.24 -3.76  0.002  1.20   7.18
     145 NGC6804      45-4.1    135.0  40.4 1    5.90  0.16    1.66  4.08 -0.87  0.150  1.48   0.18
     146 PB9          46-3.1     40.0   9.0 2   34.90  0.09    3.99  3.31 -0.87  0.100  4.66  -0.67
     147 NGC6803      46-4.1    114.0   5.6 1  257.00  0.04    3.19  2.44 -1.56  0.040  2.66   0.53
     148 K3-29        48+1.2     65.0   1.0 2 4100.00  0.02    6.78  1.19 -2.81  0.010  2.64   4.14
     149 PB10         48-2.1     50.0   8.0 2   55.20  0.07    3.83  3.11 -0.89  0.090  4.68  -0.86
     150 HE2-428      49+2.1      7.0   8.0 3    7.70  0.15    7.61  3.96 -0.87  0.140  7.09   0.52
     151 HE2-430      51+3.1     40.0   1.7 2  978.00  0.03    6.58  1.86 -2.14  0.020  3.93   2.65
     152 M1-73        51-3.1     43.0   6.0 3   84.40  0.06    4.40  2.92 -1.08  0.070  4.84  -0.45
     153 HU2-1        51+9.1    110.0   1.8 2 2400.00  0.02    4.54  1.47 -2.53  0.010  2.17   2.37
     154 K3-31        52+2.1     39.0   1.5 2 1230.00  0.03    6.88  1.76 -2.24  0.010  3.89   2.99
     155 K3-41        52-2.1      1.7   0.5 2  481.00  0.03   28.69  2.17 -1.83  0.020 20.46   8.23
     156 ME1-1        52-2.2     44.0   4.7 3  141.00  0.05    4.69  2.70 -1.30  0.050  4.55   0.14
     157 M1-74        52-4.1     29.0   1.0 3 2050.00  0.02    8.64  1.54 -2.46  0.010  4.29   4.35
     158 K3-38        53-1.1     31.0   4.7 3   99.20  0.06    5.30  2.85 -1.15  0.060  5.61  -0.31
     159 M1-72        54-2.1     30.0   0.6 2 3700.00  0.02 < 11.71  1.08 -2.92  0.010  3.79   7.92
     160 NGC6891     54-12.1    105.0  12.6 1   46.70  0.08    2.58  3.18 -0.87  0.100  3.14  -0.57
     161 HE2-439      55-0.1    204.0   2.9 3 1710.00  0.02    3.17  1.62 -2.38  0.010  1.64   1.53
     162 HE2-432      55+2.1     32.0   2.3 2  428.00  0.04    6.50  2.22 -1.78  0.030  4.77   1.73
     163 HE2-433      55+2.2     14.0   8.0 3   15.50  0.12    5.97  3.66 -0.87  0.120  6.17  -0.20
     164 HE2-435      55+2.3     15.0   4.7 3   48.00  0.08    6.84  3.17 -0.87  0.100  8.37  -1.54
     165 K3-42        56-0.1     19.0   1.2 2  933.00  0.03    9.48  1.88 -2.12  0.020  5.73   3.75
     166 K3-35        56+2.1     60.0   1.7 2  980.00  0.03    6.58  1.68 -2.32  0.010  3.08   3.50
     167 HE2-447      57-1.1     60.0   1.2 2 2940.00  0.02    6.34  1.38 -2.62  0.010  2.87   3.47
     168 K4-30        57+1.1     21.0   2.5 2  237.00  0.04    7.35  2.47 -1.53  0.040  6.25   1.10
     169 NGC6879      57-8.1     18.0   5.0 3   50.90  0.08    6.30  3.14 -0.87  0.090  7.78  -1.48
     170 K3-40        58+1.1     20.0   4.0 2   88.30  0.06    6.49  2.90 -1.10  0.070  7.07  -0.58
     171 IC4997      58-10.1    127.0   1.6 1 3510.00  0.02    4.47  1.30 -2.70  0.010  1.94   2.53
     172 K3-37        59+2.1     17.0   2.5 2  192.00  0.05    7.91  2.57 -1.43  0.040  7.09   0.82
     173 K3-39        59+2.2     11.0   1.0 2  777.00  0.03   12.13  1.96 -2.04  0.020  7.67   4.46
     174 HE2-440      60+1.1     43.0   2.2 2  628.00  0.03    5.94  2.05 -1.95  0.020  3.96   1.98
     175 NGC6853      60-3.1   1325.0 330.0 1    0.90  0.32    0.40  4.91 -0.87  0.210  0.27   0.13
     176 NGC6886      60-7.2    108.0   7.4 1  139.00  0.05    2.99  2.71 -1.29  0.050  2.91   0.09
     177 NGC6905      61-9.1     52.0  47.0 1    1.70  0.25    2.22  4.63 -0.87  0.190  1.64   0.58
     178 HE2-449      62-0.1     19.0   3.1 3  140.00  0.05    7.13  2.70 -1.30  0.050  6.93   0.20
     179 K3-48        63+0.1     34.0   6.0 2   66.80  0.07    4.77  3.02 -0.98  0.080  5.57  -0.80
     180 K3-54        63-3.1      7.5   0.8 2  828.00  0.03   14.83  1.93 -2.07  0.020  9.23   5.60
     181 NGC6720     63+13.1    360.0  70.0 1    5.20  0.17    1.00  4.13 -0.87  0.150  0.88   0.12
     182 BD+303639   64 +5.1    600.0   5.0 1 1700.00  0.02    1.84  1.62 -2.38  0.010  0.96   0.88
     183 K3-53        64-2.1     69.0   0.7 3 5500.00  0.01 <  8.70  0.85 -3.15  0.004  2.37   6.36
     184 NGC6058     64+48.1     10.0  26.0 1    1.10  0.30    4.71  4.83 -0.87  0.210  3.25   1.46
     185 HE2-463      66-5.1     18.0   5.0 3   50.90  0.08    6.30  3.14 -0.87  0.090  7.78  -1.48
